Date/Time Created	VADS Content Version	VADS Application Version	Download Activity	Number of Items Selected
03/05/2019 16:14:53	3.0.0	3.1.1	Value Set Concept Detail Result Selection	272 of 272

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code	Value Set Concept Description	Value Set Code	Value Set Version
0180	Animal production	Animal production [0180]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1180	Animal slaughtering and processing	Animal slaughtering and processing [1180]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1690	Apparel accessories and other apparel manufacturing	Apparel accessories and other apparel manufacturing [1690]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4390	Apparel, fabrics, and notions merchant wholesalers	Apparel, fabrics, and notions merchant wholesalers [4390]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7290	Architectural, engineering, and related services	Architectural, engineering, and related services [7290]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4690	Auto parts, accessories, and tire stores	Auto parts, accessories, and tire stores [4690]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4670	Automobile dealers	Automobile dealers [4670]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7080	Automotive equipment rental and leasing	Automotive equipment rental and leasing [7080]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8770	Automotive repair and maintenance	Automotive repair and maintenance [8770]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1270	Bakeries, except retail	Bakeries, except retail [1270]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
6870	Banking and related activities	Banking and related activities [6870]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8970	Barber shops	Barber shops [8970]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8980	Beauty salons	Beauty salons [8980]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4990	Beer, wine, and liquor stores	Beer, wine, and liquor stores [4990]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1370	Beverage manufacturing	Beverage manufacturing [1370]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5370	Book stores and news dealers	Book stores and news dealers [5370]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8580	Bowling centers	Bowling centers [8580]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4870	Building material and supplies dealers	Building material and supplies dealers [4870]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
6180	Bus service and urban transit	Bus service and urban transit [6180]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7590	Business support services	Business support services [7590]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9190	Business, professional, political, and similar organizations	Business, professional, political, and similar organizations [9190]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7880	Business, technical, and trade schools and training	Business, technical, and trade schools and training [7880]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8780	Car washes	Car washes [8780]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1570	Carpet and rug mills	Carpet and rug mills [1570]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2570	Cement, concrete, lime, and gypsum product manufacturing	Cement, concrete, lime, and gypsum product manufacturing [2570]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8470	Child day care services	Child day care services [8470]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9170	Civic, social, advocacy organizations, and grantmaking and giving services	Civic, social, advocacy organizations, and grantmaking and giving services [9170]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5170	Clothing stores	Clothing stores [5170]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
0380	Coal mining	Coal mining [0380]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2890	Coating, engraving, heat treating and allied activities	Coating, engraving, heat treating and allied activities [2890]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7870	Colleges and universities, including junior colleges	Colleges and universities, including junior colleges [7870]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8870	Commercial and industrial machinery and equipment repair and maintenance	Commercial and industrial machinery and equipment repair and maintenance [8870]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3090	Commercial and service industry machinery manufacturing	Commercial and service industry machinery manufacturing [3090]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7190	Commercial, industrial, and other intangible assets rental and leasing	Commercial, industrial, and other intangible assets rental and leasing [7190]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3370	Communications, audio, and video equipment manufacturing	Communications, audio, and video equipment manufacturing [3370]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8380	Community food and housing, and emergency services	Community food and housing, and emergency services [8380]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3360	Computer and peripheral equipment manufacturing	Computer and peripheral equipment manufacturing [3360]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7380	Computer systems design and related services	Computer systems design and related services [7380]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
0770	Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction)	Construction (the cleaning of buildings and dwellings is incidental during construction and immediately after construction) [0770]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3080	Construction, mining and oil and gas field machinery manufacturing	Construction, mining and oil and gas field machinery manufacturing [3080]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
6380	Couriers and messengers	Couriers and messengers [6380]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
0170	Crop production	Crop production [0170]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1680	Cut and sew apparel manufacturing	Cut and sew apparel manufacturing [1680]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2790	Cutlery and hand tool manufacturing	Cutlery and hand tool manufacturing [2790]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1170	Dairy product manufacturing	Dairy product manufacturing [1170]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
6695	Data processing, hosting, and related services	Data processing, hosting, and related services [6695]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5380	Department stores and discount stores	Department stores and discount stores [5380]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8690	Drinking places, alcoholic beverages	Drinking places, alcoholic beverages [8690]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4380	Drugs, sundries, and chemical and allied products merchant wholesalers	Drugs, sundries, and chemical and allied products merchant wholesalers [4380]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9070	Drycleaning and laundry services	Drycleaning and laundry services [9070]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
0590	Electric and gas, and other combinations	Electric and gas, and other combinations [0590]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
0570	Electric power generation, transmission and distribution	Electric power generation, transmission and distribution [0570]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4190	Electrical and electronic goods merchant wholesalers	Electrical and electronic goods merchant wholesalers [4190]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3490	Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.	Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c. [3490]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8790	Electronic and precision equipment repair and maintenance	Electronic and precision equipment repair and maintenance [8790]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5591	Electronic auctions	Electronic auctions [5591]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3390	Electronic component and product manufacturing, n.e.c.	Electronic component and product manufacturing, n.e.c. [3390]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5590	Electronic shopping	Electronic shopping [5590]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7860	Elementary and secondary schools	Elementary and secondary schools [7860]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7580	Employment services	Employment services [7580]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3180	Engines, turbines, and power transmission equipment manufacturing	Engines, turbines, and power transmission equipment manufacturing [3180]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9370	Executive offices and legislative bodies	Executive offices and legislative bodies [9370]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1480	Fabric mills, except knitting	Fabric mills, except knitting [1480]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4480	Farm product raw materials merchant wholesalers	Farm product raw materials merchant wholesalers [4480]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4570	Farm supplies merchant wholesalers	Farm supplies merchant wholesalers [4570]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1470	Fiber, yarn, and thread mills	Fiber, yarn, and thread mills [1470]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
0280	Fishing, hunting, and trapping	Fishing, hunting, and trapping [0280]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8890	Footwear and leather goods repair	Footwear and leather goods repair [8890]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1770	Footwear manufacturing	Footwear manufacturing [1770]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
0190	Forestry except logging	Forestry except logging [0190]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2770	Foundries	Foundries [2770]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1090	Fruit and vegetable preserving and specialty food manufacturing	Fruit and vegetable preserving and specialty food manufacturing [1090]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5680	Fuel dealers	Fuel dealers [5680]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9080	Funeral homes, cemeteries, and crematories	Funeral homes, cemeteries, and crematories [9080]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4080	Furniture and home furnishing merchant wholesalers	Furniture and home furnishing merchant wholesalers [4080]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4770	Furniture and home furnishings stores	Furniture and home furnishings stores [4770]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3890	Furniture and related product manufacturing	Furniture and related product manufacturing [3890]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5090	Gasoline stations	Gasoline stations [5090]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5570	Gift, novelty, and souvenir shops	Gift, novelty, and souvenir shops [5570]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2490	Glass and glass product manufacturing	Glass and glass product manufacturing [2490]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4470	Groceries and related products merchant wholesalers	Groceries and related products merchant wholesalers [4470]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4970	Grocery stores	Grocery stores [4970]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4880	Hardware stores	Hardware stores [4880]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4260	Hardware, plumbing and heating equipment, and supplies merchant wholesalers	Hardware, plumbing and heating equipment, and supplies merchant wholesalers [4260]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5080	Health and personal care, except drug, stores	Health and personal care, except drug, stores [5080]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8170	Home health care services	Home health care services [8170]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8190	Hospitals	Hospitals [8190]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3470	Household appliance manufacturing	Household appliance manufacturing [3470]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4780	Household appliance stores	Household appliance stores [4780]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8560	Independent artists, performing arts, spectator sports, and related industries	Independent artists, performing arts, spectator sports, and related industries [8560]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
8370	Individual and family services	Individual and family services [8370]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2290	Industrial and miscellaneous chemicals	Industrial and miscellaneous chemicals [2290]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9990	Insufficient Information	Insufficient Information [9990]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
6990	Insurance carriers and related activities	Insurance carriers and related activities [6990]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
6672	Internet publishing and broadcasting and web search portals	Internet publishing and broadcasting and web search portals [6672]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7680	Investigation and security services	Investigation and security services [7680]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2670	Iron and steel mills and steel product manufacturing	Iron and steel mills and steel product manufacturing [2670]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
5190	Jewelry, luggage, and leather goods stores	Jewelry, luggage, and leather goods stores [5190]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9470	Justice, public order, and safety activities	Justice, public order, and safety activities [9470]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1670	Knitting fabric mills, and apparel knitting mills	Knitting fabric mills, and apparel knitting mills [1670]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9180	Labor unions	Labor unions [9180]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7770	Landscaping services	Landscaping services [7770]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4890	Lawn and garden equipment and supplies stores	Lawn and garden equipment and supplies stores [4890]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1790	Leather tanning and finishing and other allied products manufacturing	Leather tanning and finishing and other allied products manufacturing [1790]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7270	Legal services	Legal services [7270]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
