"name","item","start_col","end_col","alignment","padding","data_type","width","name_literal","default","allow_unlimited_text","parent","section","source","year_added","version_added","year_retired","version_retired","include_incidence","include_confidential","include_abstract"
"maritalStatusAtDx",150,176,176,"left"," ","digits",1,"Marital Status at DX",,FALSE,"Tumor","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"race1",160,177,178,"right","0","digits",2,"Race 1",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race2",161,179,180,"right","0","digits",2,"Race 2",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race3",162,181,182,"right","0","digits",2,"Race 3",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race4",163,183,184,"right","0","digits",2,"Race 4",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race5",164,185,186,"right","0","digits",2,"Race 5",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"raceCodingSysCurrent",170,187,187,"left"," ","digits",1,"Race Coding Sys--Current",,FALSE,"Patient","Demographic","NAACCR",,,,,TRUE,TRUE,TRUE
"raceCodingSysOriginal",180,188,188,"left"," ","digits",1,"Race Coding Sys--Original",,FALSE,"Patient","Demographic","NAACCR",,,,,TRUE,TRUE,TRUE
"spanishHispanicOrigin",190,189,189,"left"," ","digits",1,"Spanish/Hispanic Origin",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"nhiaDerivedHispOrigin",191,418,418,"left"," ","digits",1,"NHIA Derived Hisp Origin",,FALSE,"Patient","Demographic","NAACCR",2005,,,,TRUE,TRUE,TRUE
"ihsLink",192,421,421,"left"," ","digits",1,"IHS Link",,FALSE,"Patient","Demographic","NPCR",2006,11,,,TRUE,TRUE,TRUE
"raceNapiia",193,419,420,"right","0","digits",2,"Race--NAPIIA(derived API)",,FALSE,"Patient","Demographic","NAACCR",2009,,,,TRUE,TRUE,TRUE
"computedEthnicity",200,190,190,"left"," ","digits",1,"Computed Ethnicity",,FALSE,"Patient","Demographic","SEER",1995,4,,,TRUE,TRUE,TRUE
"computedEthnicitySource",210,191,191,"left"," ","digits",1,"Computed Ethnicity Source",,FALSE,"Patient","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"sex",220,192,192,"left"," ","digits",1,"Sex",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"ageAtDiagnosis",230,193,195,"right","0","digits",3,"Age at Diagnosis",,FALSE,"Tumor","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfBirth",240,196,203,"left"," ","date",8,"Date of Birth",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfBirthFlag",241,204,205,"left"," ","digits",2,"Date of Birth Flag",,FALSE,"Patient","Demographic","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"birthplace",250,206,208,"right","0","text",3,"Birthplace",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"birthplaceState",252,442,443,"left"," ","alpha",2,"Birthplace--State",,FALSE,"Patient","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
"birthplaceCountry",254,444,446,"left"," ","alpha",3,"Birthplace--Country",,FALSE,"Patient","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
"censusOccCode19702000",270,209,211,"right","0","digits",3,"Census Occ Code 1970-2000",,FALSE,"Tumor","Demographic","Census/NPCR",,,,,TRUE,TRUE,TRUE
"censusIndCode2010",272,455,458,"right","0","text",4,"Census Ind Code 2010 CDC",,FALSE,"Tumor","Demographic","Census/NPCR",2013,13,,,TRUE,TRUE,TRUE
"censusIndCode19702000",280,212,214,"right","0","digits",3,"Census Ind Code 1970-2000",,FALSE,"Tumor","Demographic","Census/NPCR",,,,,TRUE,TRUE,TRUE
"censusOccCode2010",282,459,462,"right","0","text",4,"Census Occ Code 2010 CDC",,FALSE,"Tumor","Demographic","Census/NPCR",2013,13,,,TRUE,TRUE,TRUE
"occupationSource",290,215,215,"left"," ","digits",1,"Occupation Source",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"industrySource",300,216,216,"left"," ","digits",1,"Industry Source",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"textUsualOccupation",310,217,316,"left"," ","text",100,"Text--Usual Occupation",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"textUsualIndustry",320,317,416,"left"," ","text",100,"Text--Usual Industry",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"censusOccIndSys7000",330,417,417,"left"," ","digits",1,"Census Occ/Ind Sys 70-00",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"censusBlockGroup2000",362,174,174,"left"," ","digits",1,"Census Block Group 2000",,FALSE,"Tumor","Demographic","Census",,,,,TRUE,TRUE,TRUE
"censusBlockGroup2010",363,434,434,"left"," ","digits",1,"Census Block Group 2010",,FALSE,"Tumor","Demographic","Census",2011,,,,TRUE,TRUE,TRUE
"censusTrCert19708090",364,167,167,"left"," ","digits",1,"Census Tr Cert 1970/80/90",,FALSE,"Tumor","Demographic","SEER",1997,,,,TRUE,TRUE,TRUE
"censusTrCertainty2000",365,175,175,"left"," ","digits",1,"Census Tr Certainty 2000",,FALSE,"Tumor","Demographic","NAACCR",2003,10,,,TRUE,TRUE,TRUE
"gisCoordinateQuality",366,422,423,"right","0","digits",2,"GIS Coordinate Quality",,FALSE,"Tumor","Demographic","NAACCR",366,11,,,TRUE,TRUE,TRUE
"censusTrCertainty2010",367,435,435,"left"," ","digits",1,"Census Tr Certainty 2010",,FALSE,"Tumor","Demographic","NAACCR",2011,,,,TRUE,TRUE,TRUE
"censusBlockGrp197090",368,165,165,"left"," ","digits",1,"Census Block Grp 1970-90",,FALSE,"Tumor","Demographic","Census",2008,,,,TRUE,TRUE,TRUE
"reserved01",370,58,94,"left"," ","text",37,"Reserved 01",,FALSE,"Tumor","Record ID",,2011,,,,TRUE,TRUE,TRUE
"sequenceNumberCentral",380,528,529,"right","0","digits",2,"Sequence Number--Central",,FALSE,"Tumor","Cancer Identification","SEER",,,,,TRUE,TRUE,TRUE
"dateOfDiagnosis",390,530,537,"left"," ","date",8,"Date of Diagnosis",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfDiagnosisFlag",391,538,539,"left"," ","digits",2,"Date of Diagnosis Flag",,FALSE,"Tumor","Cancer Identification","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"primarySite",400,540,543,"left"," ","text",4,"Primary Site",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"laterality",410,544,544,"left"," ","digits",1,"Laterality",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"histologyIcdO2",420,545,548,"left"," ","digits",4,"Histology (92-00) ICD-O-2",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"behaviorIcdO2",430,549,549,"left"," ","digits",1,"Behavior (92-00) ICD-O-2",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfMultTumorsFlag",439,587,588,"left"," ","digits",2,"Date of Mult Tumors Flag",,FALSE,"Tumor","Cancer Identification","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"grade",440,555,555,"left"," ","digits",1,"Grade",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"gradePathValue",441,556,556,"left"," ","digits",1,"Grade Path Value",,FALSE,"Tumor","Cancer Identification","AJCC",2010,12,,,TRUE,TRUE,TRUE
"ambiguousTerminologyDx",442,566,566,"left"," ","digits",1,"Ambiguous Terminology DX",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"dateConclusiveDx",443,567,574,"left"," ","date",8,"Date Conclusive DX",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"multTumRptAsOnePrim",444,577,578,"right","0","digits",2,"Mult Tum Rpt as One Prim",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"dateOfMultTumors",445,579,586,"left"," ","date",8,"Date of Mult Tumors",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"multiplicityCounter",446,589,590,"right","0","digits",2,"Multiplicity Counter",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"dateConclusiveDxFlag",448,575,576,"left"," ","digits",2,"Date Conclusive DX Flag",,FALSE,"Tumor","Cancer Identification","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"gradePathSystem",449,557,557,"left"," ","digits",1,"Grade Path System",,FALSE,"Tumor","Cancer Identification","AJCC",2010,12,,,TRUE,TRUE,TRUE
"siteCodingSysCurrent",450,558,558,"left"," ","digits",1,"Site Coding Sys--Current",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"siteCodingSysOriginal",460,559,559,"left"," ","digits",1,"Site Coding Sys--Original",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"morphCodingSysCurrent",470,560,560,"left"," ","digits",1,"Morph Coding Sys--Current",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"morphCodingSysOriginl",480,561,561,"left"," ","digits",1,"Morph Coding Sys--Originl",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"diagnosticConfirmation",490,562,562,"left"," ","digits",1,"Diagnostic Confirmation",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"typeOfReportingSource",500,563,563,"left"," ","digits",1,"Type of Reporting Source",,FALSE,"Tumor","Cancer Identification","SEER",,,,,TRUE,TRUE,TRUE
"casefindingSource",501,564,565,"left"," ","digits",2,"Casefinding Source",,FALSE,"Tumor","Cancer Identification","NAACCR",2006,11,,,TRUE,TRUE,TRUE
"histologicTypeIcdO3",522,550,553,"left"," ","digits",4,"Histologic Type ICD-O-3",,FALSE,"Tumor","Cancer Identification","SEER/CoC",2001,9,,,TRUE,TRUE,TRUE
"behaviorCodeIcdO3",523,554,554,"left"," ","digits",1,"Behavior Code ICD-O-3",,FALSE,"Tumor","Cancer Identification","SEER/CoC",2001,9,,,TRUE,TRUE,TRUE
"reserved02",530,478,527,"left"," ","text",50,"Reserved 02",,FALSE,"Tumor","Demographic",,2011,,,,TRUE,TRUE,TRUE
"reportingFacility",540,701,710,"right","0","text",10,"Reporting Facility",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"npiReportingFacility",545,691,700,"left"," ","digits",10,"NPI--Reporting Facility",,FALSE,"Tumor","Hospital-Specific","CMS",2007,,,,TRUE,TRUE,TRUE
"accessionNumberHosp",550,731,739,"left"," ","digits",9,"Accession Number--Hosp",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"sequenceNumberHospital",560,740,741,"right","0","digits",2,"Sequence Number--Hospital",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"abstractedBy",570,742,744,"left"," ","text",3,"Abstracted By",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"dateOf1stContact",580,745,752,"left"," ","date",8,"Date of 1st Contact",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"dateOf1stContactFlag",581,753,754,"left"," ","digits",2,"Date of 1st Contact Flag",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"dateOfInptAdm",590,755,762,"left"," ","date",8,"Date of Inpt Adm",,FALSE,"Tumor","Hospital-Specific","NAACCR",,,,,TRUE,TRUE,TRUE
"dateOfInptAdmFlag",591,763,764,"left"," ","digits",2,"Date of Inpt Adm Flag",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"dateOfInptDisch",600,765,772,"left"," ","date",8,"Date of Inpt Disch",,FALSE,"Tumor","Hospital-Specific","NAACCR",,,,,TRUE,TRUE,TRUE
"dateOfInptDischFlag",601,773,774,"left"," ","digits",2,"Date of Inpt Disch Flag",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"inpatientStatus",605,775,775,"left"," ","digits",1,"Inpatient Status",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"classOfCase",610,776,777,"right","0","digits",2,"Class of Case",,FALSE,"Tumor","Hospital-Specific","CoC",1990,,,,TRUE,TRUE,TRUE
"primaryPayerAtDx",630,778,779,"right","0","digits",2,"Primary Payer at DX",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospSurgApp2010",668,781,781,"left"," ","digits",1,"RX Hosp--Surg App 2010",,FALSE,"Tumor","Hospital-Specific","CoC",2010,12,,,TRUE,TRUE,TRUE
"rxHospSurgPrimSite",670,782,783,"right","0","digits",2,"RX Hosp--Surg Prim Site",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospScopeRegLnSur",672,784,784,"left"," ","digits",1,"RX Hosp--Scope Reg LN Sur",,FALSE,"Tumor","Hospital-Specific","CoC",1997,,,,TRUE,TRUE,TRUE
"rxHospSurgOthRegDis",674,785,785,"left"," ","digits",1,"RX Hosp--Surg Oth Reg/Dis",,FALSE,"Tumor","Hospital-Specific","CoC",1997,,,,TRUE,TRUE,TRUE
"rxHospRegLnRemoved",676,786,787,"right","0","digits",2,"RX Hosp--Reg LN Removed",,FALSE,"Tumor","Hospital-Specific","CoC",1997,,,,TRUE,TRUE,TRUE
"reserved03",680,591,690,"left"," ","text",100,"Reserved 03",,FALSE,"Tumor","Cancer Identification",,2011,,,,TRUE,TRUE,TRUE
"rxHospRadiation",690,789,789,"left"," ","digits",1,"RX Hosp--Radiation",,FALSE,"Tumor","Hospital-Specific","SEER",,,,,TRUE,TRUE,TRUE
"rxHospChemo",700,790,791,"right","0","digits",2,"RX Hosp--Chemo",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospHormone",710,792,793,"right","0","digits",2,"RX Hosp--Hormone",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospBrm",720,794,795,"right","0","digits",2,"RX Hosp--BRM",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospOther",730,796,796,"left"," ","digits",1,"RX Hosp--Other",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospDxStgProc",740,797,798,"right","0","digits",2,"RX Hosp--DX/Stg Proc",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospSurgSite9802",746,800,801,"right","0","digits",2,"RX Hosp--Surg Site 98-02",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospScopeReg9802",747,802,802,"left"," ","digits",1,"RX Hosp--Scope Reg 98-02",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospSurgOth9802",748,803,803,"left"," ","digits",1,"RX Hosp--Surg Oth 98-02",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"reserved04",750,804,833,"left"," ","text",30,"Reserved 04",,FALSE,"Tumor","Hospital-Specific",,2011,,,,TRUE,TRUE,TRUE
"tumorSizeClinical",752,844,846,"left"," ","digits",3,"Tumor Size Clinical",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"tumorSizePathologic",754,847,849,"left"," ","digits",3,"Tumor Size Pathologic",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"tumorSizeSummary",756,850,852,"left"," ","digits",3,"Tumor Size Summary",,FALSE,"Tumor","Stage/Prognostic Factors","NPCR/CoC",2016,16,,,TRUE,TRUE,TRUE
"seerSummaryStage2000",759,904,904,"left"," ","digits",1,"SEER Summary Stage 2000",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2001,9,,,TRUE,TRUE,TRUE
"seerSummaryStage1977",760,905,905,"left"," ","digits",1,"SEER Summary Stage 1977",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"derivedSummaryStage2018",762,894,894,"left"," ","digits",1,"Derived Summary Stage 2018",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"summaryStage2018",764,895,895,"left"," ","digits",1,"Summary Stage 2018",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,,TRUE,TRUE,TRUE
"eodPrimaryTumor",772,886,888,"left"," ","digits",3,"EOD Primary Tumor",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"eodRegionalNodes",774,889,891,"left"," ","digits",3,"EOD Regional Nodes",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"eodMets",776,892,893,"left"," ","digits",2,"EOD Mets",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"eodTumorSize",780,906,908,"right","0","text",3,"EOD--Tumor Size",,FALSE,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,,TRUE,TRUE,TRUE
"eodExtension",790,909,910,"right","0","text",2,"EOD--Extension",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"eodExtensionProstPath",800,911,912,"right","0","digits",2,"EOD--Extension Prost Path",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",1995,4,,,TRUE,TRUE,TRUE
"eodLymphNodeInvolv",810,913,913,"left"," ","text",1,"EOD--Lymph Node Involv",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"regionalNodesPositive",820,914,915,"right","0","digits",2,"Regional Nodes Positive",,FALSE,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,,TRUE,TRUE,TRUE
"regionalNodesExamined",830,916,917,"right","0","digits",2,"Regional Nodes Examined",,FALSE,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,,TRUE,TRUE,TRUE
"eodOld13Digit",840,918,930,"left"," ","text",13,"EOD--Old 13 Digit",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"eodOld2Digit",850,931,932,"left"," ","text",2,"EOD--Old 2 Digit",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"eodOld4Digit",860,933,936,"left"," ","text",4,"EOD--Old 4 Digit",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"codingSystemForEod",870,937,937,"left"," ","digits",1,"Coding System for EOD",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",1995,5,,,TRUE,TRUE,TRUE
"tnmPathT",880,940,943,"left"," ","text",4,"TNM Path T",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathN",890,944,947,"left"," ","text",4,"TNM Path N",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathM",900,948,951,"left"," ","text",4,"TNM Path M",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathStageGroup",910,952,955,"left"," ","text",4,"TNM Path Stage Group",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathDescriptor",920,956,956,"left"," ","digits",1,"TNM Path Descriptor",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"tnmPathStagedBy",930,834,835,"left"," ","digits",2,"TNM Path Staged By",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"tnmClinT",940,958,961,"left"," ","text",4,"TNM Clin T",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmClinN",950,962,965,"left"," ","text",4,"TNM Clin N",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmClinM",960,966,969,"left"," ","text",4,"TNM Clin M",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmClinStageGroup",970,970,973,"left"," ","text",4,"TNM Clin Stage Group",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmClinDescriptor",980,974,974,"left"," ","digits",1,"TNM Clin Descriptor",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"tnmClinStagedBy",990,836,837,"left"," ","digits",2,"TNM Clin Staged By",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"tnmEditionNumber",1060,938,939,"right","0","digits",2,"TNM Edition Number",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"metsAtDxBone",1112,838,838,"left"," ","digits",1,"Mets at DX-Bone",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"metsAtDxBrain",1113,839,839,"left"," ","digits",1,"Mets at DX-Brain",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"metsAtDxDistantLn",1114,840,840,"left"," ","digits",1,"Mets at DX-Distant LN",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"metsAtDxLiver",1115,841,841,"left"," ","digits",1,"Mets at DX-Liver",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"metsAtDxLung",1116,842,842,"left"," ","digits",1,"Mets at DX-Lung",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"metsAtDxOther",1117,843,843,"left"," ","digits",1,"Mets at DX-Other",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"pediatricStage",1120,976,977,"left"," ","text",2,"Pediatric Stage",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"pediatricStagingSystem",1130,978,979,"right","0","digits",2,"Pediatric Staging System",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"pediatricStagedBy",1140,980,980,"left"," ","digits",1,"Pediatric Staged By",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"tumorMarker1",1150,981,981,"left"," ","digits",1,"Tumor Marker 1",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"tumorMarker2",1160,982,982,"left"," ","digits",1,"Tumor Marker 2",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"tumorMarker3",1170,983,983,"left"," ","digits",1,"Tumor Marker 3",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
