"name","item","start_col","end_col","alignment","padding","name_literal","default","parent","section","source","year_added","version_added","year_retired","version_retired"
"dateOfInptDischFlag",601,787,788,"left"," ","Date of Inpt Disch Flag",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"inpatientStatus",605,789,789,"left"," ","Inpatient Status",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"classOfCase",610,790,791,"right","0","Class of Case",,"Tumor","Hospital-Specific","CoC",1990,,,
"primaryPayerAtDx",630,792,793,"right","0","Primary Payer at DX",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospSurgApp2010",668,794,794,"left"," ","RX Hosp--Surg App 2010",,"Tumor","Hospital-Specific","CoC",2010,12,,
"rxHospSurgPrimSite",670,795,796,"right","0","RX Hosp--Surg Prim Site",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospScopeRegLnSur",672,797,797,"left"," ","RX Hosp--Scope Reg LN Sur",,"Tumor","Hospital-Specific","CoC",1997,,,
"rxHospSurgOthRegDis",674,798,798,"left"," ","RX Hosp--Surg Oth Reg/Dis",,"Tumor","Hospital-Specific","CoC",1997,,,
"rxHospRegLnRemoved",676,799,800,"right","0","RX Hosp--Reg LN Removed",,"Tumor","Hospital-Specific","CoC",1997,,,
"reserved03",680,605,704,"left"," ","Reserved 03",,"Tumor","Cancer Identification",,2011,,,
"dateRegionalLNDissection",682,1002,1009,"left"," ","Date Regional Lymph Node Dissection",,"Tumor","Stage/Prognostic Factors","NAACCR",2018,18,,
"dateRegionalLNDissectionFlag",683,1010,1011,"left"," ","Date Regional Lymph Node Dissection Flag",,"Tumor","Stage/Prognostic Factors","NAACCR",2018,18,,
"rxHospRadiation",690,801,801,"left"," ","RX Hosp--Radiation",,"Tumor","Hospital-Specific","SEER",,,,
"rxHospChemo",700,802,803,"right","0","RX Hosp--Chemo",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospHormone",710,804,805,"right","0","RX Hosp--Hormone",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospBrm",720,806,807,"right","0","RX Hosp--BRM",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospOther",730,808,808,"left"," ","RX Hosp--Other",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospDxStgProc",740,809,810,"right","0","RX Hosp--DX/Stg Proc",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospSurgSite9802",746,812,813,"right","0","RX Hosp--Surg Site 98-02",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospScopeReg9802",747,814,814,"left"," ","RX Hosp--Scope Reg 98-02",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospSurgOth9802",748,815,815,"left"," ","RX Hosp--Surg Oth 98-02",,"Tumor","Hospital-Specific","CoC",,,,
"reserved04",750,816,865,"left"," ","Reserved 04",,"Tumor","Hospital-Specific",,2011,,,
"tumorSizeClinical",752,876,878,"left"," ","Tumor Size Clinical",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"tumorSizePathologic",754,879,881,"left"," ","Tumor Size Pathologic",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"tumorSizeSummary",756,882,884,"left"," ","Tumor Size Summary",,"Tumor","Stage/Prognostic Factors","NPCR/CoC",2016,16,,
"seerSummaryStage2000",759,988,988,"left"," ","SEER Summary Stage 2000",,"Tumor","Stage/Prognostic Factors","SEER",2001,9,,
"seerSummaryStage1977",760,989,989,"left"," ","SEER Summary Stage 1977",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"derivedSummaryStage2018",762,986,986,"left"," ","Derived Summary Stage 2018",,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,
"summaryStage2018",764,987,987,"left"," ","Summary Stage 2018",,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,
"eodPrimaryTumor",772,918,920,"left"," ","EOD Primary Tumor",,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,
"eodRegionalNodes",774,921,923,"left"," ","EOD Regional Nodes",,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,
"eodMets",776,924,925,"left"," ","EOD Mets",,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,
"eodTumorSize",780,990,992,"right","0","EOD--Tumor Size",,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,
"derivedEod2018T",785,926,940,"left"," ","Derived EOD 2018 T",,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,
"eodExtension",790,993,994,"right","0","EOD--Extension",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"derivedEod2018M",795,956,970,"left"," ","Derived EOD 2018 M",,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,
"eodExtensionProstPath",800,995,996,"right","0","EOD--Extension Prost Path",,"Tumor","Stage/Prognostic Factors","SEER",1995,4,,
"eodLymphNodeInvolv",810,997,997,"left"," ","EOD--Lymph Node Involv",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"derivedEod2018N",815,941,955,"left"," ","Derived EOD 2018 N",,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,
"derivedEod2018StageGroup",818,971,985,"left"," ","Derived EOD 2018 Stage Group",,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,
"regionalNodesPositive",820,998,999,"right","0","Regional Nodes Positive",,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,
"regionalNodesExamined",830,1000,1001,"right","0","Regional Nodes Examined",,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,
"dateSentinelLymphNodeBiopsy",832,1016,1023,"left"," ","Date of Sentinel Lymph Node Biopsy",,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,
"dateSentinelLymphNodeBiopsyFlag",833,1024,1025,"left"," ","Date Sentinel Lymph Node Biopsy Flag",,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,
"sentinelLymphNodesExamined",834,1014,1015,"left"," ","Sentinel Lymph Nodes Examined",,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,
"sentinelLymphNodesPositive",835,1012,1013,"left"," ","Sentinel Lymph Nodes Positive",,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,
"eodOld13Digit",840,1026,1038,"left"," ","EOD--Old 13 Digit",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"eodOld2Digit",850,1039,1040,"left"," ","EOD--Old 2 Digit",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"eodOld4Digit",860,1041,1044,"left"," ","EOD--Old 4 Digit",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"codingSystemForEod",870,1045,1045,"left"," ","Coding System for EOD",,"Tumor","Stage/Prognostic Factors","SEER",1995,5,,
"tnmPathT",880,1048,1051,"left"," ","TNM Path T",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathN",890,1052,1055,"left"," ","TNM Path N",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathM",900,1056,1059,"left"," ","TNM Path M",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathStageGroup",910,1060,1063,"left"," ","TNM Path Stage Group",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathDescriptor",920,1064,1064,"left"," ","TNM Path Descriptor",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tnmPathStagedBy",930,866,867,"left"," ","TNM Path Staged By",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tnmClinT",940,1065,1068,"left"," ","TNM Clin T",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinN",950,1069,1072,"left"," ","TNM Clin N",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinM",960,1073,1076,"left"," ","TNM Clin M",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinStageGroup",970,1077,1080,"left"," ","TNM Clin Stage Group",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinDescriptor",980,1081,1081,"left"," ","TNM Clin Descriptor",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tnmClinStagedBy",990,868,869,"left"," ","TNM Clin Staged By",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"ajccId",995,1722,1725,"left"," ","AJCC ID",,"Tumor","Stage/Prognostic Factors","NAACCR",2018,18,,
"ajccTnmClinT",1001,1082,1096,"left"," ","AJCC TNM Clin T",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmClinN",1002,1101,1115,"left"," ","AJCC TNM Clin N",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmClinM",1003,1120,1134,"left"," ","AJCC TNM Clin M",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmClinStageGroup",1004,1135,1149,"left"," ","AJCC TNM Clin Stage Group",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPathT",1011,1150,1164,"left"," ","AJCC TNM Path T",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPathN",1012,1169,1183,"left"," ","AJCC TNM Path N",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPathM",1013,1188,1202,"left"," ","AJCC TNM Path M",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPathStageGroup",1014,1203,1217,"left"," ","AJCC TNM Path Stage Group",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPostTherapyT",1021,1218,1232,"left"," ","AJCC TNM Post Therapy T",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPostTherapyN",1022,1237,1251,"left"," ","AJCC TNM Post Therapy N",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"ajccTnmPostTherapyM",1023,1256,1270,"left"," ","AJCC TNM Post Therapy M",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPostTherapyStageGroup",1024,1271,1285,"left"," ","AJCC TNM Post Therapy Stage Group",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmClinTSuffix",1031,1097,1100,"left"," ","AJCC TNM Clin T Suffix",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPathTSuffix",1032,1165,1168,"left"," ","AJCC TNM Path T Suffix",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"ajccTnmPostTherapyTSuffix",1033,1233,1236,"left"," ","AJCC TNM Post Therapy T Suffix",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"ajccTnmClinNSuffix",1034,1116,1119,"left"," ","AJCC TNM Clin N Suffix",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"ajccTnmPathNSuffix",1035,1184,1187,"left"," ","AJCC TNM Path N Suffix",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"ajccTnmPostTherapyNSuffix",1036,1252,1255,"left"," ","AJCC TNM Post Therapy N Suffix",,"Tumor","Stage/Prognostic Factors","AJCC",2018,18,,
"tnmEditionNumber",1060,1046,1047,"right","0","TNM Edition Number",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"metsAtDxBone",1112,870,870,"left"," ","Mets at DX-Bone",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"metsAtDxBrain",1113,871,871,"left"," ","Mets at DX-Brain",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"metsAtDxDistantLn",1114,872,872,"left"," ","Mets at DX-Distant LN",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"metsAtDxLiver",1115,873,873,"left"," ","Mets at DX-Liver",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"metsAtDxLung",1116,874,874,"left"," ","Mets at DX-Lung",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"metsAtDxOther",1117,875,875,"left"," ","Mets at DX-Other",,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,
"pediatricStage",1120,1289,1290,"left"," ","Pediatric Stage",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"pediatricStagingSystem",1130,1291,1292,"right","0","Pediatric Staging System",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"pediatricStagedBy",1140,1293,1293,"left"," ","Pediatric Staged By",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tumorMarker1",1150,1294,1294,"left"," ","Tumor Marker 1",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"tumorMarker2",1160,1295,1295,"left"," ","Tumor Marker 2",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"tumorMarker3",1170,1296,1296,"left"," ","Tumor Marker 3",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"reserved05",1180,1996,2093,"left"," ","Reserved 05",,"Tumor","Stage/Prognostic Factors",,2011,,,
"lymphVascularInvasion",1182,1297,1297,"left"," ","Lymph-vascular Invasion",,"Tumor","Stage/Prognostic Factors","AJCC",2010,12,,
"reserved06",1190,2357,2456,"left"," ","Reserved 06",,"Tumor","Treatment-1st Course",,2011,,,
"rxDateSurgery",1200,2114,2121,"left"," ","RX Date Surgery",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateSurgeryFlag",1201,2122,2123,"left"," ","RX Date Surgery Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateRadiation",1210,2144,2151,"left"," ","RX Date Radiation",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateRadiationFlag",1211,2152,2153,"left"," ","RX Date Radiation Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateChemo",1220,2174,2181,"left"," ","RX Date Chemo",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateChemoFlag",1221,2182,2183,"left"," ","RX Date Chemo Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateHormone",1230,2184,2191,"left"," ","RX Date Hormone",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateHormoneFlag",1231,2192,2193,"left"," ","RX Date Hormone Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateBrm",1240,2194,2201,"left"," ","RX Date BRM",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateBrmFlag",1241,2202,2203,"left"," ","RX Date BRM Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateOther",1250,2204,2211,"left"," ","RX Date Other",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateOtherFlag",1251,2212,2213,"left"," ","RX Date Other Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"dateInitialRxSeer",1260,2094,2101,"left"," ","Date Initial RX SEER",,"Tumor","Treatment-1st Course","SEER",,,,
"dateInitialRxSeerFlag",1261,2102,2103,"left"," ","Date Initial RX SEER Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"date1stCrsRxCoc",1270,2104,2111,"left"," ","Date 1st Crs RX CoC",,"Tumor","Treatment-1st Course","CoC",,,,
"date1stCrsRxCocFlag",1271,2112,2113,"left"," ","Date 1st Crs RX CoC Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateDxStgProc",1280,2214,2221,"left"," ","RX Date DX/Stg Proc",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateDxStgProcFlag",1281,2222,2223,"left"," ","RX Date DX/Stg Proc Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
