"name","item","start_col","end_col","alignment","padding","name_literal","default","parent","section","source","year_added","version_added","year_retired","version_retired"
"seerSummaryStage2000",759,904,904,"left"," ","SEER Summary Stage 2000",,"Tumor","Stage/Prognostic Factors","SEER",2001,9,,
"seerSummaryStage1977",760,905,905,"left"," ","SEER Summary Stage 1977",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"eodTumorSize",780,906,908,"right","0","EOD--Tumor Size",,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,
"eodExtension",790,909,910,"right","0","EOD--Extension",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"eodExtensionProstPath",800,911,912,"right","0","EOD--Extension Prost Path",,"Tumor","Stage/Prognostic Factors","SEER",1995,4,,
"eodLymphNodeInvolv",810,913,913,"left"," ","EOD--Lymph Node Involv",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"regionalNodesPositive",820,914,915,"right","0","Regional Nodes Positive",,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,
"regionalNodesExamined",830,916,917,"right","0","Regional Nodes Examined",,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,
"eodOld13Digit",840,918,930,"left"," ","EOD--Old 13 Digit",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"eodOld2Digit",850,931,932,"left"," ","EOD--Old 2 Digit",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"eodOld4Digit",860,933,936,"left"," ","EOD--Old 4 Digit",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"codingSystemForEod",870,937,937,"left"," ","Coding System for EOD",,"Tumor","Stage/Prognostic Factors","SEER",1995,5,,
"tnmPathT",880,940,943,"left"," ","TNM Path T",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathN",890,944,947,"left"," ","TNM Path N",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathM",900,948,951,"left"," ","TNM Path M",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathStageGroup",910,952,955,"left"," ","TNM Path Stage Group",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmPathDescriptor",920,956,956,"left"," ","TNM Path Descriptor",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tnmPathStagedBy",930,957,957,"left"," ","TNM Path Staged By",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tnmClinT",940,958,961,"left"," ","TNM Clin T",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinN",950,962,965,"left"," ","TNM Clin N",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinM",960,966,969,"left"," ","TNM Clin M",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinStageGroup",970,970,973,"left"," ","TNM Clin Stage Group",,"Tumor","Stage/Prognostic Factors","AJCC",,,,
"tnmClinDescriptor",980,974,974,"left"," ","TNM Clin Descriptor",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tnmClinStagedBy",990,975,975,"left"," ","TNM Clin Staged By",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tnmEditionNumber",1060,938,939,"right","0","TNM Edition Number",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"pediatricStage",1120,976,977,"left"," ","Pediatric Stage",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"pediatricStagingSystem",1130,978,979,"left"," ","Pediatric Staging System",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"pediatricStagedBy",1140,980,980,"left"," ","Pediatric Staged By",,"Tumor","Stage/Prognostic Factors","CoC",,,,
"tumorMarker1",1150,981,981,"left"," ","Tumor Marker 1",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"tumorMarker2",1160,982,982,"left"," ","Tumor Marker 2",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"tumorMarker3",1170,983,983,"left"," ","Tumor Marker 3",,"Tumor","Stage/Prognostic Factors","SEER",,,,
"lymphVascularInvasion",1182,984,984,"left"," ","Lymph-vascular Invasion",,"Tumor","Stage/Prognostic Factors","AJCC",2010,12,,
"rxDateSurgery",1200,1456,1463,"left"," ","RX Date Surgery",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateSurgeryFlag",1201,1464,1465,"left"," ","RX Date Surgery Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateRadiation",1210,1486,1493,"left"," ","RX Date Radiation",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateRadiationFlag",1211,1494,1495,"left"," ","RX Date Radiation Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateChemo",1220,1516,1523,"left"," ","RX Date Chemo",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateChemoFlag",1221,1524,1525,"left"," ","RX Date Chemo Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateHormone",1230,1526,1533,"left"," ","RX Date Hormone",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateHormoneFlag",1231,1534,1535,"left"," ","RX Date Hormone Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateBrm",1240,1536,1543,"left"," ","RX Date BRM",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateBrmFlag",1241,1544,1545,"left"," ","RX Date BRM Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateOther",1250,1546,1553,"left"," ","RX Date Other",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateOtherFlag",1251,1554,1555,"left"," ","RX Date Other Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"dateInitialRxSeer",1260,1436,1443,"left"," ","Date Initial RX SEER",,"Tumor","Treatment-1st Course","SEER",,,,
"dateInitialRxSeerFlag",1261,1444,1445,"left"," ","Date Initial RX SEER Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"date1stCrsRxCoc",1270,1446,1453,"left"," ","Date 1st Crs RX CoC",,"Tumor","Treatment-1st Course","CoC",,,,
"date1stCrsRxCocFlag",1271,1454,1455,"left"," ","Date 1st Crs RX CoC Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxDateDxStgProc",1280,1556,1563,"left"," ","RX Date DX/Stg Proc",,"Tumor","Treatment-1st Course","CoC",,,,
"rxDateDxStgProcFlag",1281,1564,1565,"left"," ","RX Date DX/Stg Proc Flag",,"Tumor","Treatment-1st Course","NAACCR",2010,12,,
"rxSummTreatmentStatus",1285,1566,1566,"left"," ","RX Summ--Treatment Status",,"Tumor","Treatment-1st Course","SEER/CoC",2010,12,,
"rxSummSurgPrimSite",1290,1567,1568,"right","0","RX Summ--Surg Prim Site",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"rxSummScopeRegLnSur",1292,1569,1569,"left"," ","RX Summ--Scope Reg LN Sur",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"rxSummSurgOthRegDis",1294,1570,1570,"left"," ","RX Summ--Surg Oth Reg/Dis",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"rxSummRegLnExamined",1296,1571,1572,"right","0","RX Summ--Reg LN Examined",,"Tumor","Treatment-1st Course","SEER/CoC",1997,,,
"rxSummSurgicalApproch",1310,1573,1573,"left"," ","RX Summ--Surgical Approch",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummSurgicalMargins",1320,1574,1574,"left"," ","RX Summ--Surgical Margins",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummReconstruct1st",1330,1575,1575,"left"," ","RX Summ--Reconstruct 1st",,"Tumor","Treatment-1st Course","SEER",,,,
"reasonForNoSurgery",1340,1576,1576,"left"," ","Reason for No Surgery",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummDxStgProc",1350,1577,1578,"right","0","RX Summ--DX/Stg Proc",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummRadiation",1360,1580,1580,"left"," ","RX Summ--Radiation",,"Tumor","Treatment-1st Course","SEER",,,,
"rxSummRadToCns",1370,1581,1581,"left"," ","RX Summ--Rad to CNS",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummSurgRadSeq",1380,1582,1582,"left"," ","RX Summ--Surg/Rad Seq",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummChemo",1390,1585,1586,"right","0","RX Summ--Chemo",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummHormone",1400,1587,1588,"right","0","RX Summ--Hormone",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummBrm",1410,1589,1590,"right","0","RX Summ--BRM",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummOther",1420,1591,1591,"left"," ","RX Summ--Other",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"reasonForNoRadiation",1430,1592,1592,"left"," ","Reason for No Radiation",,"Tumor","Treatment-1st Course","CoC",,,,
"rxCodingSystemCurrent",1460,1593,1594,"right","0","RX Coding System--Current",,"Tumor","Treatment-1st Course","NAACCR",,,,
"radRegionalDoseCgy",1510,1596,1600,"right","0","Rad--Regional Dose: cGy",,"Tumor","Treatment-1st Course","CoC",,,,
"radNoOfTreatmentVol",1520,1601,1603,"right","0","Rad--No of Treatment Vol",,"Tumor","Treatment-1st Course","CoC",,,,
"radTreatmentVolume",1540,1604,1605,"right","0","Rad--Treatment Volume",,"Tumor","Treatment-1st Course","CoC",,,,
"radLocationOfRx",1550,1606,1606,"left"," ","Rad--Location of RX",,"Tumor","Treatment-1st Course","CoC",,,,
"radRegionalRxModality",1570,1607,1608,"right","0","Rad--Regional RX Modality",,"Tumor","Treatment-1st Course","CoC",,,,
"rxSummSystemicSurSeq",1639,1616,1616,"left"," ","RX Summ--Systemic/Sur Seq",,"Tumor","Treatment-1st Course","CoC",2006,11,,
"rxSummSurgeryType",1640,1617,1618,"right","0","RX Summ--Surgery Type",,"Tumor","Treatment-1st Course","SEER",2011,,,
"rxSummSurgSite9802",1646,1620,1621,"right","0","RX Summ--Surg Site 98-02",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummScopeReg9802",1647,1622,1622,"left"," ","RX Summ--Scope Reg 98-02",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"rxSummSurgOth9802",1648,1623,1623,"left"," ","RX Summ--Surg Oth 98-02",,"Tumor","Treatment-1st Course","SEER/CoC",,,,
"subsqRx2ndCourseDate",1660,1724,1731,"left"," ","Subsq RX 2nd Course Date",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx2ndcrsDateFlag",1661,1732,1733,"left"," ","Subsq RX 2ndCrs Date Flag",,"Tumor","Treatment-Subsequent & Other","NAACCR",2010,12,,
"subsqRx2ndCourseSurg",1671,1734,1735,"right","0","Subsq RX 2nd Course Surg",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseRad",1672,1740,1740,"left"," ","Subsq RX 2nd Course Rad",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseChemo",1673,1741,1741,"left"," ","Subsq RX 2nd Course Chemo",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseHorm",1674,1742,1742,"left"," ","Subsq RX 2nd Course Horm",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx2ndCourseBrm",1675,1743,1743,"left"," ","Subsq RX 2nd Course BRM",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndCourseOth",1676,1744,1744,"left"," ","Subsq RX 2nd Course Oth",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx2ndScopeLnSu",1677,1736,1736,"left"," ","Subsq RX 2nd--Scope LN SU",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx2ndSurgOth",1678,1737,1737,"left"," ","Subsq RX 2nd--Surg Oth",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx2ndRegLnRem",1679,1738,1739,"right","0","Subsq RX 2nd--Reg LN Rem",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx3rdCourseDate",1680,1745,1752,"left"," ","Subsq RX 3rd Course Date",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx3rdcrsDateFlag",1681,1753,1754,"left"," ","Subsq RX 3rdCrs Date Flag",,"Tumor","Treatment-Subsequent & Other","NAACCR",2010,12,,
"subsqRx3rdCourseSurg",1691,1755,1756,"right","0","Subsq RX 3rd Course Surg",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseRad",1692,1761,1761,"left"," ","Subsq RX 3rd Course Rad",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseChemo",1693,1762,1762,"left"," ","Subsq RX 3rd Course Chemo",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseHorm",1694,1763,1763,"left"," ","Subsq RX 3rd Course Horm",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseBrm",1695,1764,1764,"left"," ","Subsq RX 3rd Course BRM",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdCourseOth",1696,1765,1765,"left"," ","Subsq RX 3rd Course Oth",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx3rdScopeLnSu",1697,1757,1757,"left"," ","Subsq RX 3rd--Scope LN Su",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx3rdSurgOth",1698,1758,1758,"left"," ","Subsq RX 3rd--Surg Oth",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx3rdRegLnRem",1699,1759,1760,"right","0","Subsq RX 3rd--Reg LN Rem",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
"subsqRx4thCourseDate",1700,1766,1773,"left"," ","Subsq RX 4th Course Date",,"Tumor","Treatment-Subsequent & Other","CoC",,,,
"subsqRx4thcrsDateFlag",1701,1774,1775,"left"," ","Subsq RX 4thCrs Date Flag",,"Tumor","Treatment-Subsequent & Other","NAACCR",2010,12,,
"subsqRx4thCourseSurg",1711,1776,1777,"right","0","Subsq RX 4th Course Surg",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseRad",1712,1782,1782,"left"," ","Subsq RX 4th Course Rad",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseChemo",1713,1783,1783,"left"," ","Subsq RX 4th Course Chemo",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseHorm",1714,1784,1784,"left"," ","Subsq RX 4th Course Horm",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseBrm",1715,1785,1785,"left"," ","Subsq RX 4th Course BRM",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thCourseOth",1716,1786,1786,"left"," ","Subsq RX 4th Course Oth",,"Tumor","Treatment-Subsequent & Other","CoC",2011,,,
"subsqRx4thScopeLnSu",1717,1778,1778,"left"," ","Subsq RX 4th--Scope LN Su",,"Tumor","Treatment-Subsequent & Other","CoC",1997,,,
