"name","item","start_col","end_col","alignment","padding","data_type","width","name_literal","default","allow_unlimited_text","parent","section","source","year_added","version_added","year_retired","version_retired","include_incidence","include_confidential","include_abstract"
"censusTract19708090",110,158,163,"right","0","digits",6,"Census Tract 1970/80/90",,FALSE,"Tumor","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"censusCodSys19708090",120,165,165,"left"," ","digits",1,"Census Cod Sys 1970/80/90",,FALSE,"Tumor","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"censusTract2020",125,198,203,"right","0","digits",6,"Census Tract 2020",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"censusTract2000",130,172,177,"right","0","digits",6,"Census Tract 2000",,FALSE,"Tumor","Demographic","NAACCR",,,,,TRUE,TRUE,TRUE
"censusTract2010",135,185,190,"right","0","digits",6,"Census Tract 2010",,FALSE,"Tumor","Demographic","NAACCR",2011,,,,TRUE,TRUE,TRUE
"censusTrPovertyIndictr",145,491,491,"left"," ","digits",1,"Census Tr Poverty Indictr",,FALSE,"Tumor","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
"maritalStatusAtDx",150,206,206,"left"," ","digits",1,"Marital Status at DX",,FALSE,"Tumor","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"race1",160,207,208,"right","0","digits",2,"Race 1",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race2",161,209,210,"right","0","digits",2,"Race 2",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race3",162,211,212,"right","0","digits",2,"Race 3",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race4",163,213,214,"right","0","digits",2,"Race 4",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"race5",164,215,216,"right","0","digits",2,"Race 5",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"raceCodingSysCurrent",170,217,217,"left"," ","digits",1,"Race Coding Sys--Current",,FALSE,"Patient","Demographic","NAACCR",,,,,TRUE,TRUE,TRUE
"raceCodingSysOriginal",180,218,218,"left"," ","digits",1,"Race Coding Sys--Original",,FALSE,"Patient","Demographic","NAACCR",,,,,TRUE,TRUE,TRUE
"spanishHispanicOrigin",190,219,219,"left"," ","digits",1,"Spanish/Hispanic Origin",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"nhiaDerivedHispOrigin",191,448,448,"left"," ","digits",1,"NHIA Derived Hisp Origin",,FALSE,"Patient","Demographic","NAACCR",2005,,,,TRUE,TRUE,TRUE
"ihsLink",192,451,451,"left"," ","digits",1,"IHS Link",,FALSE,"Patient","Demographic","NPCR",2006,11,,,TRUE,TRUE,TRUE
"raceNapiia",193,449,450,"right","0","digits",2,"Race--NAPIIA(derived API)",,FALSE,"Patient","Demographic","NAACCR",2009,,,,TRUE,TRUE,TRUE
"computedEthnicity",200,220,220,"left"," ","digits",1,"Computed Ethnicity",,FALSE,"Patient","Demographic","SEER",1995,4,,,TRUE,TRUE,TRUE
"computedEthnicitySource",210,221,221,"left"," ","digits",1,"Computed Ethnicity Source",,FALSE,"Patient","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"sex",220,222,222,"left"," ","digits",1,"Sex",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"ageAtDiagnosis",230,223,225,"right","0","digits",3,"Age at Diagnosis",,FALSE,"Tumor","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfBirth",240,226,233,"left"," ","date",8,"Date of Birth",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfBirthFlag",241,234,235,"left"," ","digits",2,"Date of Birth Flag",,FALSE,"Patient","Demographic","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"birthplace",250,236,238,"right","0","text",3,"Birthplace",,FALSE,"Patient","Demographic","SEER/CoC",,,,,TRUE,TRUE,TRUE
"birthplaceState",252,470,471,"left"," ","alpha",2,"Birthplace--State",,FALSE,"Patient","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
"birthplaceCountry",254,472,474,"left"," ","alpha",3,"Birthplace--Country",,FALSE,"Patient","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
"censusOccCode19702000",270,239,241,"right","0","digits",3,"Census Occ Code 1970-2000",,FALSE,"Tumor","Demographic","Census/NPCR",,,,,TRUE,TRUE,TRUE
"censusIndCode2010",272,483,486,"right","0","digits",4,"Census Ind Code 2010 CDC",,FALSE,"Tumor","Demographic","Census/NPCR",2013,13,,,TRUE,TRUE,TRUE
"censusIndCode19702000",280,242,244,"right","0","digits",3,"Census Ind Code 1970-2000",,FALSE,"Tumor","Demographic","Census/NPCR",,,,,TRUE,TRUE,TRUE
"censusOccCode2010",282,487,490,"right","0","digits",4,"Census Occ Code 2010 CDC",,FALSE,"Tumor","Demographic","Census/NPCR",2013,13,,,TRUE,TRUE,TRUE
"occupationSource",290,245,245,"left"," ","digits",1,"Occupation Source",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"industrySource",300,246,246,"left"," ","digits",1,"Industry Source",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"textUsualOccupation",310,247,346,"left"," ","text",100,"Text--Usual Occupation",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"textUsualIndustry",320,347,446,"left"," ","text",100,"Text--Usual Industry",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"censusOccIndSys7000",330,447,447,"left"," ","digits",1,"Census Occ/Ind Sys 70-00",,FALSE,"Tumor","Demographic","NPCR",,,,,TRUE,TRUE,TRUE
"ruca2000",339,460,460,"left"," ","mixed",1,"RUCA 2000",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"ruca2010",341,461,461,"left"," ","mixed",1,"RUCA 2010",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"uric2000",345,462,462,"left"," ","mixed",1,"URIC 2000",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"uric2010",346,463,463,"left"," ","mixed",1,"URIC 2010",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"censusBlockGroup2020",361,204,204,"left"," ","digits",1,"Census Block Group 2020",,FALSE,"Tumor","Demographic","Census",2018,18,,,TRUE,TRUE,TRUE
"censusBlockGroup2000",362,178,178,"left"," ","digits",1,"Census Block Group 2000",,FALSE,"Tumor","Demographic","Census",,,,,TRUE,TRUE,TRUE
"censusBlockGroup2010",363,191,191,"left"," ","digits",1,"Census Block Group 2010",,FALSE,"Tumor","Demographic","Census",2011,,,,TRUE,TRUE,TRUE
"censusTrCert19708090",364,166,166,"left"," ","digits",1,"Census Tr Cert 1970/80/90",,FALSE,"Tumor","Demographic","SEER",1997,,,,TRUE,TRUE,TRUE
"censusTrCertainty2000",365,179,179,"left"," ","digits",1,"Census Tr Certainty 2000",,FALSE,"Tumor","Demographic","NAACCR",2003,10,,,TRUE,TRUE,TRUE
"gisCoordinateQuality",366,452,453,"right","0","digits",2,"GIS Coordinate Quality",,FALSE,"Tumor","Demographic","NAACCR",366,11,,,TRUE,TRUE,TRUE
"censusTrCertainty2010",367,192,192,"left"," ","digits",1,"Census Tr Certainty 2010",,FALSE,"Tumor","Demographic","NAACCR",2011,,,,TRUE,TRUE,TRUE
"censusBlockGrp197090",368,164,164,"left"," ","digits",1,"Census Block Grp 1970/80/90",,FALSE,"Tumor","Demographic","Census",2008,,,,TRUE,TRUE,TRUE
"censusTractCertainty2020",369,205,205,"left"," ","digits",1,"Census Tract Certainty 2020",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"sequenceNumberCentral",380,542,543,"right","0","digits",2,"Sequence Number--Central",,FALSE,"Tumor","Cancer Identification","SEER",,,,,TRUE,TRUE,TRUE
"dateOfDiagnosis",390,544,551,"left"," ","date",8,"Date of Diagnosis",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfDiagnosisFlag",391,552,553,"left"," ","digits",2,"Date of Diagnosis Flag",,FALSE,"Tumor","Cancer Identification","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"primarySite",400,554,557,"left"," ","text",4,"Primary Site",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"laterality",410,558,558,"left"," ","digits",1,"Laterality",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"histologyIcdO2",420,559,562,"left"," ","digits",4,"Histology (92-00) ICD-O-2",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"behaviorIcdO2",430,563,563,"left"," ","digits",1,"Behavior (92-00) ICD-O-2",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateOfMultTumorsFlag",439,601,602,"left"," ","digits",2,"Date of Mult Tumors Flag",,FALSE,"Tumor","Cancer Identification","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"grade",440,569,569,"left"," ","digits",1,"Grade",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"gradePathValue",441,570,570,"left"," ","digits",1,"Grade Path Value",,FALSE,"Tumor","Cancer Identification","AJCC",2010,12,,,TRUE,TRUE,TRUE
"ambiguousTerminologyDx",442,580,580,"left"," ","digits",1,"Ambiguous Terminology DX",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"dateConclusiveDx",443,581,588,"left"," ","date",8,"Date Conclusive DX",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"multTumRptAsOnePrim",444,591,592,"right","0","digits",2,"Mult Tum Rpt as One Prim",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"dateOfMultTumors",445,593,600,"left"," ","date",8,"Date of Mult Tumors",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"multiplicityCounter",446,603,604,"right","0","digits",2,"Multiplicity Counter",,FALSE,"Tumor","Cancer Identification","SEER",2006,11,,,TRUE,TRUE,TRUE
"dateConclusiveDxFlag",448,589,590,"left"," ","digits",2,"Date Conclusive DX Flag",,FALSE,"Tumor","Cancer Identification","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"gradePathSystem",449,571,571,"left"," ","digits",1,"Grade Path System",,FALSE,"Tumor","Cancer Identification","AJCC",2010,12,,,TRUE,TRUE,TRUE
"siteCodingSysCurrent",450,572,572,"left"," ","digits",1,"Site Coding Sys--Current",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"siteCodingSysOriginal",460,573,573,"left"," ","digits",1,"Site Coding Sys--Original",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"morphCodingSysCurrent",470,574,574,"left"," ","mixed",1,"Morph Coding Sys--Current",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"morphCodingSysOriginl",480,575,575,"left"," ","mixed",1,"Morph Coding Sys--Originl",,FALSE,"Tumor","Cancer Identification","NAACCR",,,,,TRUE,TRUE,TRUE
"diagnosticConfirmation",490,576,576,"left"," ","digits",1,"Diagnostic Confirmation",,FALSE,"Tumor","Cancer Identification","SEER/CoC",,,,,TRUE,TRUE,TRUE
"typeOfReportingSource",500,577,577,"left"," ","digits",1,"Type of Reporting Source",,FALSE,"Tumor","Cancer Identification","SEER",,,,,TRUE,TRUE,TRUE
"casefindingSource",501,578,579,"left"," ","digits",2,"Casefinding Source",,FALSE,"Tumor","Cancer Identification","NAACCR",2006,11,,,TRUE,TRUE,TRUE
"histologicTypeIcdO3",522,564,567,"left"," ","digits",4,"Histologic Type ICD-O-3",,FALSE,"Tumor","Cancer Identification","SEER/CoC",2001,9,,,TRUE,TRUE,TRUE
"behaviorCodeIcdO3",523,568,568,"left"," ","digits",1,"Behavior Code ICD-O-3",,FALSE,"Tumor","Cancer Identification","SEER/CoC",2001,9,,,TRUE,TRUE,TRUE
"reportingFacility",540,715,724,"right","0","text",10,"Reporting Facility",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"npiReportingFacility",545,705,714,"left"," ","digits",10,"NPI--Reporting Facility",,FALSE,"Tumor","Hospital-Specific","CMS",2007,,,,TRUE,TRUE,TRUE
"accessionNumberHosp",550,745,753,"left"," ","digits",9,"Accession Number--Hosp",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"sequenceNumberHospital",560,754,755,"right","0","digits",2,"Sequence Number--Hospital",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"abstractedBy",570,756,758,"left"," ","text",3,"Abstracted By",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"dateOf1stContact",580,759,766,"left"," ","date",8,"Date of 1st Contact",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"dateOf1stContactFlag",581,767,768,"left"," ","digits",2,"Date of 1st Contact Flag",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"dateOfInptAdm",590,769,776,"left"," ","date",8,"Date of Inpt Adm",,FALSE,"Tumor","Hospital-Specific","NAACCR",,,,,TRUE,TRUE,TRUE
"dateOfInptAdmFlag",591,777,778,"left"," ","digits",2,"Date of Inpt Adm Flag",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"dateOfInptDisch",600,779,786,"left"," ","date",8,"Date of Inpt Disch",,FALSE,"Tumor","Hospital-Specific","NAACCR",,,,,TRUE,TRUE,TRUE
"dateOfInptDischFlag",601,787,788,"left"," ","digits",2,"Date of Inpt Disch Flag",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"inpatientStatus",605,789,789,"left"," ","digits",1,"Inpatient Status",,FALSE,"Tumor","Hospital-Specific","NAACCR",2010,12,,,TRUE,TRUE,TRUE
"classOfCase",610,790,791,"right","0","digits",2,"Class of Case",,FALSE,"Tumor","Hospital-Specific","CoC",1990,,,,TRUE,TRUE,TRUE
"primaryPayerAtDx",630,792,793,"right","0","digits",2,"Primary Payer at DX",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospSurgApp2010",668,794,794,"left"," ","digits",1,"RX Hosp--Surg App 2010",,FALSE,"Tumor","Hospital-Specific","CoC",2010,12,,,TRUE,TRUE,TRUE
"rxHospSurgPrimSite",670,795,796,"right","0","digits",2,"RX Hosp--Surg Prim Site",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospScopeRegLnSur",672,797,797,"left"," ","digits",1,"RX Hosp--Scope Reg LN Sur",,FALSE,"Tumor","Hospital-Specific","CoC",1997,,,,TRUE,TRUE,TRUE
"rxHospSurgOthRegDis",674,798,798,"left"," ","digits",1,"RX Hosp--Surg Oth Reg/Dis",,FALSE,"Tumor","Hospital-Specific","CoC",1997,,,,TRUE,TRUE,TRUE
"rxHospRegLnRemoved",676,799,800,"right","0","digits",2,"RX Hosp--Reg LN Removed",,FALSE,"Tumor","Hospital-Specific","CoC",1997,,,,TRUE,TRUE,TRUE
"dateRegionalLNDissection",682,1002,1009,"left"," ","date",8,"Date Regional Lymph Node Dissection",,FALSE,"Tumor","Stage/Prognostic Factors","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"dateRegionalLNDissectionFlag",683,1010,1011,"left"," ","digits",2,"Date Regional Lymph Node Dissection Flag",,FALSE,"Tumor","Stage/Prognostic Factors","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"rxHospRadiation",690,801,801,"left"," ","digits",1,"RX Hosp--Radiation",,FALSE,"Tumor","Hospital-Specific","SEER",,,,,TRUE,TRUE,TRUE
"rxHospChemo",700,802,803,"right","0","digits",2,"RX Hosp--Chemo",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospHormone",710,804,805,"right","0","digits",2,"RX Hosp--Hormone",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospBrm",720,806,807,"right","0","digits",2,"RX Hosp--BRM",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospOther",730,808,808,"left"," ","digits",1,"RX Hosp--Other",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospDxStgProc",740,809,810,"right","0","digits",2,"RX Hosp--DX/Stg Proc",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospSurgSite9802",746,812,813,"right","0","digits",2,"RX Hosp--Surg Site 98-02",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospScopeReg9802",747,814,814,"left"," ","digits",1,"RX Hosp--Scope Reg 98-02",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"rxHospSurgOth9802",748,815,815,"left"," ","digits",1,"RX Hosp--Surg Oth 98-02",,FALSE,"Tumor","Hospital-Specific","CoC",,,,,TRUE,TRUE,TRUE
"tumorSizeClinical",752,876,878,"left"," ","digits",3,"Tumor Size Clinical",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"tumorSizePathologic",754,879,881,"left"," ","digits",3,"Tumor Size Pathologic",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2016,16,,,TRUE,TRUE,TRUE
"tumorSizeSummary",756,882,884,"left"," ","digits",3,"Tumor Size Summary",,FALSE,"Tumor","Stage/Prognostic Factors","NPCR/CoC",2016,16,,,TRUE,TRUE,TRUE
"seerSummaryStage2000",759,988,988,"left"," ","digits",1,"SEER Summary Stage 2000",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2001,9,,,TRUE,TRUE,TRUE
"seerSummaryStage1977",760,989,989,"left"," ","digits",1,"SEER Summary Stage 1977",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"derivedSummaryStage2018",762,986,986,"left"," ","digits",1,"Derived Summary Stage 2018",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,,TRUE,TRUE,TRUE
"summaryStage2018",764,987,987,"left"," ","digits",1,"Summary Stage 2018",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,,TRUE,TRUE,TRUE
"eodPrimaryTumor",772,918,920,"left"," ","text",3,"EOD Primary Tumor",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,,TRUE,TRUE,TRUE
"eodRegionalNodes",774,921,923,"left"," ","text",3,"EOD Regional Nodes",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,,TRUE,TRUE,TRUE
"eodMets",776,924,925,"left"," ","text",2,"EOD Mets",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,16,,,TRUE,TRUE,TRUE
"eodTumorSize",780,990,992,"right","0","digits",3,"EOD--Tumor Size",,FALSE,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,,TRUE,TRUE,TRUE
"derivedEod2018T",785,926,940,"left"," ","text",15,"Derived EOD 2018 T",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,,TRUE,TRUE,TRUE
"eodExtension",790,993,994,"right","0","digits",2,"EOD--Extension",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"derivedEod2018M",795,956,970,"left"," ","text",15,"Derived EOD 2018 M",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,,TRUE,TRUE,TRUE
"eodExtensionProstPath",800,995,996,"right","0","digits",2,"EOD--Extension Prost Path",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",1995,4,,,TRUE,TRUE,TRUE
"eodLymphNodeInvolv",810,997,997,"left"," ","text",1,"EOD--Lymph Node Involv",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"derivedEod2018N",815,941,955,"left"," ","text",15,"Derived EOD 2018 N",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,,TRUE,TRUE,TRUE
"derivedEod2018StageGroup",818,971,985,"left"," ","text",15,"Derived EOD 2018 Stage Group",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",2018,18,,,TRUE,TRUE,TRUE
"regionalNodesPositive",820,998,999,"right","0","digits",2,"Regional Nodes Positive",,FALSE,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,,TRUE,TRUE,TRUE
"regionalNodesExamined",830,1000,1001,"right","0","digits",2,"Regional Nodes Examined",,FALSE,"Tumor","Stage/Prognostic Factors","SEER/CoC",,,,,TRUE,TRUE,TRUE
"dateSentinelLymphNodeBiopsy",832,1016,1023,"left"," ","date",8,"Date of Sentinel Lymph Node Biopsy",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,,TRUE,TRUE,TRUE
"dateSentinelLymphNodeBiopsyFlag",833,1024,1025,"left"," ","digits",2,"Date of Sentinel Lymph Node Biopsy Flag",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,,TRUE,TRUE,TRUE
"sentinelLymphNodesExamined",834,1014,1015,"left"," ","digits",2,"Sentinel Lymph Nodes Examined",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,,TRUE,TRUE,TRUE
"sentinelLymphNodesPositive",835,1012,1013,"left"," ","digits",2,"Sentinel Lymph Nodes Positive",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",2018,18,,,TRUE,TRUE,TRUE
"eodOld13Digit",840,1026,1038,"left"," ","text",13,"EOD--Old 13 Digit",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"eodOld2Digit",850,1039,1040,"left"," ","text",2,"EOD--Old 2 Digit",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"eodOld4Digit",860,1041,1044,"left"," ","text",4,"EOD--Old 4 Digit",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",,,,,TRUE,TRUE,TRUE
"codingSystemForEod",870,1045,1045,"left"," ","digits",1,"Coding System for EOD",,FALSE,"Tumor","Stage/Prognostic Factors","SEER",1995,5,,,TRUE,TRUE,TRUE
"tnmPathT",880,1048,1051,"left"," ","text",4,"TNM Path T",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathN",890,1052,1055,"left"," ","text",4,"TNM Path N",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathM",900,1056,1059,"left"," ","text",4,"TNM Path M",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathStageGroup",910,1060,1063,"left"," ","text",4,"TNM Path Stage Group",,FALSE,"Tumor","Stage/Prognostic Factors","AJCC",,,,,TRUE,TRUE,TRUE
"tnmPathDescriptor",920,1064,1064,"left"," ","digits",1,"TNM Path Descriptor",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
"tnmPathStagedBy",930,866,867,"left"," ","digits",2,"TNM Path Staged By",,FALSE,"Tumor","Stage/Prognostic Factors","CoC",,,,,TRUE,TRUE,TRUE
